|  SP | White    | Black    | Chess960FEN                                                   |
|  33 | BNNBQRKR | bnnbqrkr | [FEN "bnnbqrkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBQRKR w - - 0 1"] |
|  34 | BNNQRBKR | bnnqrbkr | [FEN "bnnqrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNQRBKR w - - 0 1"] |
|  35 | BNNQRKRB | bnnqrkrb | [FEN "bnnqrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNQRKRB w - - 0 1"] |
|  36 | NBBNQRKR | nbbnqrkr | [FEN "nbbnqrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNQRKR w - - 0 1"] |
|  37 | NNBBQRKR | nnbbqrkr | [FEN "nnbbqrkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBQRKR w - - 0 1"] |
|  38 | NNBQRBKR | nnbqrbkr | [FEN "nnbqrbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBQRBKR w - - 0 1"] |
|  39 | NNBQRKRB | nnbqrkrb | [FEN "nnbqrkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBQRKRB w - - 0 1"] |
|  40 | NBNQBRKR | nbnqbrkr | [FEN "nbnqbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBNQBRKR w - - 0 1"] |
|  41 | NNQBBRKR | nnqbbrkr | [FEN "nnqbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NNQBBRKR w - - 0 1"] |
|  42 | NNQRBBKR | nnqrbbkr | [FEN "nnqrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNQRBBKR w - - 0 1"] |
|  43 | NNQRBKRB | nnqrbkrb | [FEN "nnqrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNQRBKRB w - - 0 1"] |
|  44 | NBNQRKBR | nbnqrkbr | [FEN "nbnqrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNQRKBR w - - 0 1"] |
|  45 | NNQBRKBR | nnqbrkbr | [FEN "nnqbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NNQBRKBR w - - 0 1"] |
|  46 | NNQRKBBR | nnqrkbbr | [FEN "nnqrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNQRKBBR w - - 0 1"] |
|  47 | NNQRKRBB | nnqrkrbb | [FEN "nnqrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNQRKRBB w - - 0 1"] |
|  48 | BBNNRQKR | bbnnrqkr | [FEN "bbnnrqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRQKR w - - 0 1"] |
|  49 | BNNBRQKR | bnnbrqkr | [FEN "bnnbrqkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRQKR w - - 0 1"] |
|  50 | BNNRQBKR | bnnrqbkr | [FEN "bnnrqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNRQBKR w - - 0 1"] |
|  51 | BNNRQKRB | bnnrqkrb | [FEN "bnnrqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRQKRB w - - 0 1"] |
|  52 | NBBNRQKR | nbbnrqkr | [FEN "nbbnrqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRQKR w - - 0 1"] |
|  53 | NNBBRQKR | nnbbrqkr | [FEN "nnbbrqkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRQKR w - - 0 1"] |
|  54 | NNBRQBKR | nnbrqbkr | [FEN "nnbrqbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBRQBKR w - - 0 1"] |
|  55 | NNBRQKRB | nnbrqkrb | [FEN "nnbrqkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRQKRB w - - 0 1"] |
|  56 | NBNRBQKR | nbnrbqkr | [FEN "nbnrbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBQKR w - - 0 1"] |
|  57 | NNRBBQKR | nnrbbqkr | [FEN "nnrbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBQKR w - - 0 1"] |
|  58 | NNRQBBKR | nnrqbbkr | [FEN "nnrqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNRQBBKR w - - 0 1"] |
|  59 | NNRQBKRB | nnrqbkrb | [FEN "nnrqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNRQBKRB w - - 0 1"] |
|  60 | NBNRQKBR | nbnrqkbr | [FEN "nbnrqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRQKBR w - - 0 1"] |
|  61 | NNRBQKBR | nnrbqkbr | [FEN "nnrbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBQKBR w - - 0 1"] |
|  62 | NNRQKBBR | nnrqkbbr | [FEN "nnrqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRQKBBR w - - 0 1"] |
|  63 | NNRQKRBB | nnrqkrbb | [FEN "nnrqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRQKRBB w - - 0 1"] |
|  64 | BBNNRKQR | bbnnrkqr | [FEN "bbnnrkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKQR w - - 0 1"] |
|  65 | BNNBRKQR | bnnbrkqr | [FEN "bnnbrkqr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKQR w - - 0 1"] |
|  66 | BNNRKBQR | bnnrkbqr | [FEN "bnnrkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBQR w - - 0 1"] |
|  67 | BNNRKQRB | bnnrkqrb | [FEN "bnnrkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKQRB w - - 0 1"] |
|  68 | NBBNRKQR | nbbnrkqr | [FEN "nbbnrkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKQR w - - 0 1"] |
|  69 | NNBBRKQR | nnbbrkqr | [FEN "nnbbrkqr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKQR w - - 0 1"] |
|  70 | NNBRKBQR | nnbrkbqr | [FEN "nnbrkbqr/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBQR w - - 0 1"] |
|  71 | NNBRKQRB | nnbrkqrb | [FEN "nnbrkqrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKQRB w - - 0 1"] |
|  72 | NBNRBKQR | nbnrbkqr | [FEN "nbnrbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKQR w - - 0 1"] |
|  73 | NNRBBKQR | nnrbbkqr | [FEN "nnrbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKQR w - - 0 1"] |
|  74 | NNRKBBQR | nnrkbbqr | [FEN "nnrkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBQR w - - 0 1"] |
|  75 | NNRKBQRB | nnrkbqrb | [FEN "nnrkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBQRB w - - 0 1"] |
|  76 | NBNRKQBR | nbnrkqbr | [FEN "nbnrkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRKQBR w - - 0 1"] |
|  77 | NNRBKQBR | nnrbkqbr | [FEN "nnrbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBKQBR w - - 0 1"] |
|  78 | NNRKQBBR | nnrkqbbr | [FEN "nnrkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRKQBBR w - - 0 1"] |
|  79 | NNRKQRBB | nnrkqrbb | [FEN "nnrkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKQRBB w - - 0 1"] |
|  80 | BBNNRKRQ | bbnnrkrq | [FEN "bbnnrkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKRQ w - - 0 1"] |
|  81 | BNNBRKRQ | bnnbrkrq | [FEN "bnnbrkrq/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKRQ w - - 0 1"] |
|  82 | BNNRKBRQ | bnnrkbrq | [FEN "bnnrkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBRQ w - - 0 1"] |
|  83 | BNNRKRQB | bnnrkrqb | [FEN "bnnrkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKRQB w - - 0 1"] |
|  84 | NBBNRKRQ | nbbnrkrq | [FEN "nbbnrkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKRQ w - - 0 1"] |
|  85 | NNBBRKRQ | nnbbrkrq | [FEN "nnbbrkrq/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKRQ w - - 0 1"] |
|  86 | NNBRKBRQ | nnbrkbrq | [FEN "nnbrkbrq/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBRQ w - - 0 1"] |
|  87 | NNBRKRQB | nnbrkrqb | [FEN "nnbrkrqb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKRQB w - - 0 1"] |
|  88 | NBNRBKRQ | nbnrbkrq | [FEN "nbnrbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKRQ w - - 0 1"] |
|  89 | NNRBBKRQ | nnrbbkrq | [FEN "nnrbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKRQ w - - 0 1"] |
|  90 | NNRKBBRQ | nnrkbbrq | [FEN "nnrkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBRQ w - - 0 1"] |
|  91 | NNRKBRQB | nnrkbrqb | [FEN "nnrkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBRQB w - - 0 1"] |
|  92 | NBNRKRBQ | nbnrkrbq | [FEN "nbnrkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBNRKRBQ w - - 0 1"] |
