|  SP | White    | Black    | Chess960FEN                                                   |
| 175 | NRNKQRBB | nrnkqrbb | [FEN "nrnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKQRBB w - - 0 1"] |
| 176 | BBNRNKRQ | bbnrnkrq | [FEN "bbnrnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKRQ w - - 0 1"] |
| 177 | BNRBNKRQ | bnrbnkrq | [FEN "bnrbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKRQ w - - 0 1"] |
| 178 | BNRNKBRQ | bnrnkbrq | [FEN "bnrnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBRQ w - - 0 1"] |
| 179 | BNRNKRQB | bnrnkrqb | [FEN "bnrnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKRQB w - - 0 1"] |
| 180 | NBBRNKRQ | nbbrnkrq | [FEN "nbbrnkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKRQ w - - 0 1"] |
| 181 | NRBBNKRQ | nrbbnkrq | [FEN "nrbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKRQ w - - 0 1"] |
| 182 | NRBNKBRQ | nrbnkbrq | [FEN "nrbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBRQ w - - 0 1"] |
| 183 | NRBNKRQB | nrbnkrqb | [FEN "nrbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKRQB w - - 0 1"] |
| 184 | NBRNBKRQ | nbrnbkrq | [FEN "nbrnbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKRQ w - - 0 1"] |
| 185 | NRNBBKRQ | nrnbbkrq | [FEN "nrnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKRQ w - - 0 1"] |
| 186 | NRNKBBRQ | nrnkbbrq | [FEN "nrnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBRQ w - - 0 1"] |
| 187 | NRNKBRQB | nrnkbrqb | [FEN "nrnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBRQB w - - 0 1"] |
| 188 | NBRNKRBQ | nbrnkrbq | [FEN "nbrnkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRNKRBQ w - - 0 1"] |
| 189 | NRNBKRBQ | nrnbkrbq | [FEN "nrnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NRNBKRBQ w - - 0 1"] |
| 190 | NRNKRBBQ | nrnkrbbq | [FEN "nrnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRNKRBBQ w - - 0 1"] |
| 191 | NRNKRQBB | nrnkrqbb | [FEN "nrnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKRQBB w - - 0 1"] |
| 192 | BBQNRKNR | bbqnrknr | [FEN "bbqnrknr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKNR w - - 0 1"] |
| 193 | BQNBRKNR | bqnbrknr | [FEN "bqnbrknr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKNR w - - 0 1"] |
| 194 | BQNRKBNR | bqnrkbnr | [FEN "bqnrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBNR w - - 0 1"] |
| 195 | BQNRKNRB | bqnrknrb | [FEN "bqnrknrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKNRB w - - 0 1"] |
| 196 | QBBNRKNR | qbbnrknr | [FEN "qbbnrknr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKNR w - - 0 1"] |
| 197 | QNBBRKNR | qnbbrknr | [FEN "qnbbrknr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKNR w - - 0 1"] |
| 198 | QNBRKBNR | qnbrkbnr | [FEN "qnbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBNR w - - 0 1"] |
| 199 | QNBRKNRB | qnbrknrb | [FEN "qnbrknrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKNRB w - - 0 1"] |
| 200 | QBNRBKNR | qbnrbknr | [FEN "qbnrbknr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKNR w - - 0 1"] |
| 201 | QNRBBKNR | qnrbbknr | [FEN "qnrbbknr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKNR w - - 0 1"] |
| 202 | QNRKBBNR | qnrkbbnr | [FEN "qnrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBNR w - - 0 1"] |
| 203 | QNRKBNRB | qnrkbnrb | [FEN "qnrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBNRB w - - 0 1"] |
| 204 | QBNRKNBR | qbnrknbr | [FEN "qbnrknbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRKNBR w - - 0 1"] |
| 205 | QNRBKNBR | qnrbknbr | [FEN "qnrbknbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBKNBR w - - 0 1"] |
| 206 | QNRKNBBR | qnrknbbr | [FEN "qnrknbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRKNBBR w - - 0 1"] |
| 207 | QNRKNRBB | qnrknrbb | [FEN "qnrknrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKNRBB w - - 0 1"] |
| 208 | BBNQRKNR | bbnqrknr | [FEN "bbnqrknr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKNR w - - 0 1"] |
| 209 | BNQBRKNR | bnqbrknr | [FEN "bnqbrknr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKNR w - - 0 1"] |
| 210 | BNQRKBNR | bnqrkbnr | [FEN "bnqrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBNR w - - 0 1"] |
| 211 | BNQRKNRB | bnqrknrb | [FEN "bnqrknrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKNRB w - - 0 1"] |
| 212 | NBBQRKNR | nbbqrknr | [FEN "nbbqrknr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKNR w - - 0 1"] |
| 213 | NQBBRKNR | nqbbrknr | [FEN "nqbbrknr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRKNR w - - 0 1"] |
| 214 | NQBRKBNR | nqbrkbnr | [FEN "nqbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/NQBRKBNR w - - 0 1"] |
| 215 | NQBRKNRB | nqbrknrb | [FEN "nqbrknrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRKNRB w - - 0 1"] |
| 216 | NBQRBKNR | nbqrbknr | [FEN "nbqrbknr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBKNR w - - 0 1"] |
| 217 | NQRBBKNR | nqrbbknr | [FEN "nqrbbknr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBKNR w - - 0 1"] |
| 218 | NQRKBBNR | nqrkbbnr | [FEN "nqrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/NQRKBBNR w - - 0 1"] |
| 219 | NQRKBNRB | nqrkbnrb | [FEN "nqrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/NQRKBNRB w - - 0 1"] |
| 220 | NBQRKNBR | nbqrknbr | [FEN "nbqrknbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRKNBR w - - 0 1"] |
| 221 | NQRBKNBR | nqrbknbr | [FEN "nqrbknbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBKNBR w - - 0 1"] |
| 222 | NQRKNBBR | nqrknbbr | [FEN "nqrknbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRKNBBR w - - 0 1"] |
| 223 | NQRKNRBB | nqrknrbb | [FEN "nqrknrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKNRBB w - - 0 1"] |
| 224 | BBNRQKNR | bbnrqknr | [FEN "bbnrqknr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQKNR w - - 0 1"] |
| 225 | BNRBQKNR | bnrbqknr | [FEN "bnrbqknr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQKNR w - - 0 1"] |
| 226 | BNRQKBNR | bnrqkbnr | [FEN "bnrqkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNRQKBNR w - - 0 1"] |
| 227 | BNRQKNRB | bnrqknrb | [FEN "bnrqknrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQKNRB w - - 0 1"] |
| 228 | NBBRQKNR | nbbrqknr | [FEN "nbbrqknr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQKNR w - - 0 1"] |
| 229 | NRBBQKNR | nrbbqknr | [FEN "nrbbqknr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQKNR w - - 0 1"] |
| 230 | NRBQKBNR | nrbqkbnr | [FEN "nrbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/NRBQKBNR w - - 0 1"] |
| 231 | NRBQKNRB | nrbqknrb | [FEN "nrbqknrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQKNRB w - - 0 1"] |
| 232 | NBRQBKNR | nbrqbknr | [FEN "nbrqbknr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBKNR w - - 0 1"] |
| 233 | NRQBBKNR | nrqbbknr | [FEN "nrqbbknr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBKNR w - - 0 1"] |
| 234 | NRQKBBNR | nrqkbbnr | [FEN "nrqkbbnr/pppppppp/8/8/8/8/PPPPPPPP/NRQKBBNR w - - 0 1"] |
| 235 | NRQKBNRB | nrqkbnrb | [FEN "nrqkbnrb/pppppppp/8/8/8/8/PPPPPPPP/NRQKBNRB w - - 0 1"] |
| 236 | NBRQKNBR | nbrqknbr | [FEN "nbrqknbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQKNBR w - - 0 1"] |
| 237 | NRQBKNBR | nrqbknbr | [FEN "nrqbknbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBKNBR w - - 0 1"] |
| 238 | NRQKNBBR | nrqknbbr | [FEN "nrqknbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQKNBBR w - - 0 1"] |
| 239 | NRQKNRBB | nrqknrbb | [FEN "nrqknrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQKNRBB w - - 0 1"] |
| 240 | BBNRKQNR | bbnrkqnr | [FEN "bbnrkqnr/pppppppp/8/8/8/8/PPPPPPPP/BBNRKQNR w - - 0 1"] |
| 241 | BNRBKQNR | bnrbkqnr | [FEN "bnrbkqnr/pppppppp/8/8/8/8/PPPPPPPP/BNRBKQNR w - - 0 1"] |
| 242 | BNRKQBNR | bnrkqbnr | [FEN "bnrkqbnr/pppppppp/8/8/8/8/PPPPPPPP/BNRKQBNR w - - 0 1"] |
| 243 | BNRKQNRB | bnrkqnrb | [FEN "bnrkqnrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQNRB w - - 0 1"] |
| 244 | NBBRKQNR | nbbrkqnr | [FEN "nbbrkqnr/pppppppp/8/8/8/8/PPPPPPPP/NBBRKQNR w - - 0 1"] |
| 245 | NRBBKQNR | nrbbkqnr | [FEN "nrbbkqnr/pppppppp/8/8/8/8/PPPPPPPP/NRBBKQNR w - - 0 1"] |
| 246 | NRBKQBNR | nrbkqbnr | [FEN "nrbkqbnr/pppppppp/8/8/8/8/PPPPPPPP/NRBKQBNR w - - 0 1"] |
| 247 | NRBKQNRB | nrbkqnrb | [FEN "nrbkqnrb/pppppppp/8/8/8/8/PPPPPPPP/NRBKQNRB w - - 0 1"] |
| 248 | NBRKBQNR | nbrkbqnr | [FEN "nbrkbqnr/pppppppp/8/8/8/8/PPPPPPPP/NBRKBQNR w - - 0 1"] |
| 249 | NRKBBQNR | nrkbbqnr | [FEN "nrkbbqnr/pppppppp/8/8/8/8/PPPPPPPP/NRKBBQNR w - - 0 1"] |
| 250 | NRKQBBNR | nrkqbbnr | [FEN "nrkqbbnr/pppppppp/8/8/8/8/PPPPPPPP/NRKQBBNR w - - 0 1"] |
| 251 | NRKQBNRB | nrkqbnrb | [FEN "nrkqbnrb/pppppppp/8/8/8/8/PPPPPPPP/NRKQBNRB w - - 0 1"] |
| 252 | NBRKQNBR | nbrkqnbr | [FEN "nbrkqnbr/pppppppp/8/8/8/8/PPPPPPPP/NBRKQNBR w - - 0 1"] |
| 253 | NRKBQNBR | nrkbqnbr | [FEN "nrkbqnbr/pppppppp/8/8/8/8/PPPPPPPP/NRKBQNBR w - - 0 1"] |
| 254 | NRKQNBBR | nrkqnbbr | [FEN "nrkqnbbr/pppppppp/8/8/8/8/PPPPPPPP/NRKQNBBR w - - 0 1"] |
| 255 | NRKQNRBB | nrkqnrbb | [FEN "nrkqnrbb/pppppppp/8/8/8/8/PPPPPPPP/NRKQNRBB w - - 0 1"] |
| 256 | BBNRKNQR | bbnrknqr | [FEN "bbnrknqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRKNQR w - - 0 1"] |
| 257 | BNRBKNQR | bnrbknqr | [FEN "bnrbknqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBKNQR w - - 0 1"] |
| 258 | BNRKNBQR | bnrknbqr | [FEN "bnrknbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRKNBQR w - - 0 1"] |
| 259 | BNRKNQRB | bnrknqrb | [FEN "bnrknqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKNQRB w - - 0 1"] |
| 260 | NBBRKNQR | nbbrknqr | [FEN "nbbrknqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRKNQR w - - 0 1"] |
| 261 | NRBBKNQR | nrbbknqr | [FEN "nrbbknqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBKNQR w - - 0 1"] |
| 262 | NRBKNBQR | nrbknbqr | [FEN "nrbknbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBKNBQR w - - 0 1"] |
| 263 | NRBKNQRB | nrbknqrb | [FEN "nrbknqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBKNQRB w - - 0 1"] |
| 264 | NBRKBNQR | nbrkbnqr | [FEN "nbrkbnqr/pppppppp/8/8/8/8/PPPPPPPP/NBRKBNQR w - - 0 1"] |
| 265 | NRKBBNQR | nrkbbnqr | [FEN "nrkbbnqr/pppppppp/8/8/8/8/PPPPPPPP/NRKBBNQR w - - 0 1"] |
| 266 | NRKNBBQR | nrknbbqr | [FEN "nrknbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRKNBBQR w - - 0 1"] |
| 267 | NRKNBQRB | nrknbqrb | [FEN "nrknbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRKNBQRB w - - 0 1"] |
| 268 | NBRKNQBR | nbrknqbr | [FEN "nbrknqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRKNQBR w - - 0 1"] |
| 269 | NRKBNQBR | nrkbnqbr | [FEN "nrkbnqbr/pppppppp/8/8/8/8/PPPPPPPP/NRKBNQBR w - - 0 1"] |
| 270 | NRKNQBBR | nrknqbbr | [FEN "nrknqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRKNQBBR w - - 0 1"] |
| 271 | NRKNQRBB | nrknqrbb | [FEN "nrknqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRKNQRBB w - - 0 1"] |
| 272 | BBNRKNRQ | bbnrknrq | [FEN "bbnrknrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRKNRQ w - - 0 1"] |
| 273 | BNRBKNRQ | bnrbknrq | [FEN "bnrbknrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBKNRQ w - - 0 1"] |
| 274 | BNRKNBRQ | bnrknbrq | [FEN "bnrknbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRKNBRQ w - - 0 1"] |
| 275 | BNRKNRQB | bnrknrqb | [FEN "bnrknrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRKNRQB w - - 0 1"] |
| 276 | NBBRKNRQ | nbbrknrq | [FEN "nbbrknrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRKNRQ w - - 0 1"] |
| 277 | NRBBKNRQ | nrbbknrq | [FEN "nrbbknrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBKNRQ w - - 0 1"] |
| 278 | NRBKNBRQ | nrbknbrq | [FEN "nrbknbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBKNBRQ w - - 0 1"] |
| 279 | NRBKNRQB | nrbknrqb | [FEN "nrbknrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBKNRQB w - - 0 1"] |
| 280 | NBRKBNRQ | nbrkbnrq | [FEN "nbrkbnrq/pppppppp/8/8/8/8/PPPPPPPP/NBRKBNRQ w - - 0 1"] |
| 281 | NRKBBNRQ | nrkbbnrq | [FEN "nrkbbnrq/pppppppp/8/8/8/8/PPPPPPPP/NRKBBNRQ w - - 0 1"] |
| 282 | NRKNBBRQ | nrknbbrq | [FEN "nrknbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRKNBBRQ w - - 0 1"] |
| 283 | NRKNBRQB | nrknbrqb | [FEN "nrknbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRKNBRQB w - - 0 1"] |
| 284 | NBRKNRBQ | nbrknrbq | [FEN "nbrknrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRKNRBQ w - - 0 1"] |
| 285 | NRKBNRBQ | nrkbnrbq | [FEN "nrkbnrbq/pppppppp/8/8/8/8/PPPPPPPP/NRKBNRBQ w - - 0 1"] |
| 286 | NRKNRBBQ | nrknrbbq | [FEN "nrknrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRKNRBBQ w - - 0 1"] |
| 287 | NRKNRQBB | nrknrqbb | [FEN "nrknrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRKNRQBB w - - 0 1"] |
| 288 | BBQNRKRN | bbqnrkrn | [FEN "bbqnrkrn/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKRN w - - 0 1"] |
| 289 | BQNBRKRN | bqnbrkrn | [FEN "bqnbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKRN w - - 0 1"] |
| 290 | BQNRKBRN | bqnrkbrn | [FEN "bqnrkbrn/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBRN w - - 0 1"] |
| 291 | BQNRKRNB | bqnrkrnb | [FEN "bqnrkrnb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKRNB w - - 0 1"] |
| 292 | QBBNRKRN | qbbnrkrn | [FEN "qbbnrkrn/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKRN w - - 0 1"] |
| 293 | QNBBRKRN | qnbbrkrn | [FEN "qnbbrkrn/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKRN w - - 0 1"] |
| 294 | QNBRKBRN | qnbrkbrn | [FEN "qnbrkbrn/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBRN w - - 0 1"] |
| 295 | QNBRKRNB | qnbrkrnb | [FEN "qnbrkrnb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKRNB w - - 0 1"] |
| 296 | QBNRBKRN | qbnrbkrn | [FEN "qbnrbkrn/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKRN w - - 0 1"] |
| 297 | QNRBBKRN | qnrbbkrn | [FEN "qnrbbkrn/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKRN w - - 0 1"] |
| 298 | QNRKBBRN | qnrkbbrn | [FEN "qnrkbbrn/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBRN w - - 0 1"] |
| 299 | QNRKBRNB | qnrkbrnb | [FEN "qnrkbrnb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBRNB w - - 0 1"] |
| 300 | QBNRKRBN | qbnrkrbn | [FEN "qbnrkrbn/pppppppp/8/8/8/8/PPPPPPPP/QBNRKRBN w - - 0 1"] |
| 301 | QNRBKRBN | qnrbkrbn | [FEN "qnrbkrbn/pppppppp/8/8/8/8/PPPPPPPP/QNRBKRBN w - - 0 1"] |
| 302 | QNRKRBBN | qnrkrbbn | [FEN "qnrkrbbn/pppppppp/8/8/8/8/PPPPPPPP/QNRKRBBN w - - 0 1"] |
| 303 | QNRKRNBB | qnrkrnbb | [FEN "qnrkrnbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKRNBB w - - 0 1"] |
| 304 | BBNQRKRN | bbnqrkrn | [FEN "bbnqrkrn/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKRN w - - 0 1"] |
| 305 | BNQBRKRN | bnqbrkrn | [FEN "bnqbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKRN w - - 0 1"] |
| 306 | BNQRKBRN | bnqrkbrn | [FEN "bnqrkbrn/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBRN w - - 0 1"] |
| 307 | BNQRKRNB | bnqrkrnb | [FEN "bnqrkrnb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKRNB w - - 0 1"] |
| 308 | NBBQRKRN | nbbqrkrn | [FEN "nbbqrkrn/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKRN w - - 0 1"] |
| 309 | NQBBRKRN | nqbbrkrn | [FEN "nqbbrkrn/pppppppp/8/8/8/8/PPPPPPPP/NQBBRKRN w - - 0 1"] |
| 310 | NQBRKBRN | nqbrkbrn | [FEN "nqbrkbrn/pppppppp/8/8/8/8/PPPPPPPP/NQBRKBRN w - - 0 1"] |
| 311 | NQBRKRNB | nqbrkrnb | [FEN "nqbrkrnb/pppppppp/8/8/8/8/PPPPPPPP/NQBRKRNB w - - 0 1"] |
| 312 | NBQRBKRN | nbqrbkrn | [FEN "nbqrbkrn/pppppppp/8/8/8/8/PPPPPPPP/NBQRBKRN w - - 0 1"] |
| 313 | NQRBBKRN | nqrbbkrn | [FEN "nqrbbkrn/pppppppp/8/8/8/8/PPPPPPPP/NQRBBKRN w - - 0 1"] |
| 314 | NQRKBBRN | nqrkbbrn | [FEN "nqrkbbrn/pppppppp/8/8/8/8/PPPPPPPP/NQRKBBRN w - - 0 1"] |
| 315 | NQRKBRNB | nqrkbrnb | [FEN "nqrkbrnb/pppppppp/8/8/8/8/PPPPPPPP/NQRKBRNB w - - 0 1"] |
| 316 | NBQRKRBN | nbqrkrbn | [FEN "nbqrkrbn/pppppppp/8/8/8/8/PPPPPPPP/NBQRKRBN w - - 0 1"] |
| 317 | NQRBKRBN | nqrbkrbn | [FEN "nqrbkrbn/pppppppp/8/8/8/8/PPPPPPPP/NQRBKRBN w - - 0 1"] |
| 318 | NQRKRBBN | nqrkrbbn | [FEN "nqrkrbbn/pppppppp/8/8/8/8/PPPPPPPP/NQRKRBBN w - - 0 1"] |
| 319 | NQRKRNBB | nqrkrnbb | [FEN "nqrkrnbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKRNBB w - - 0 1"] |
| 320 | BBNRQKRN | bbnrqkrn | [FEN "bbnrqkrn/pppppppp/8/8/8/8/PPPPPPPP/BBNRQKRN w - - 0 1"] |
| 321 | BNRBQKRN | bnrbqkrn | [FEN "bnrbqkrn/pppppppp/8/8/8/8/PPPPPPPP/BNRBQKRN w - - 0 1"] |
| 322 | BNRQKBRN | bnrqkbrn | [FEN "bnrqkbrn/pppppppp/8/8/8/8/PPPPPPPP/BNRQKBRN w - - 0 1"] |
| 323 | BNRQKRNB | bnrqkrnb | [FEN "bnrqkrnb/pppppppp/8/8/8/8/PPPPPPPP/BNRQKRNB w - - 0 1"] |
| 324 | NBBRQKRN | nbbrqkrn | [FEN "nbbrqkrn/pppppppp/8/8/8/8/PPPPPPPP/NBBRQKRN w - - 0 1"] |
| 325 | NRBBQKRN | nrbbqkrn | [FEN "nrbbqkrn/pppppppp/8/8/8/8/PPPPPPPP/NRBBQKRN w - - 0 1"] |
| 326 | NRBQKBRN | nrbqkbrn | [FEN "nrbqkbrn/pppppppp/8/8/8/8/PPPPPPPP/NRBQKBRN w - - 0 1"] |
| 327 | NRBQKRNB | nrbqkrnb | [FEN "nrbqkrnb/pppppppp/8/8/8/8/PPPPPPPP/NRBQKRNB w - - 0 1"] |
| 328 | NBRQBKRN | nbrqbkrn | [FEN "nbrqbkrn/pppppppp/8/8/8/8/PPPPPPPP/NBRQBKRN w - - 0 1"] |
| 329 | NRQBBKRN | nrqbbkrn | [FEN "nrqbbkrn/pppppppp/8/8/8/8/PPPPPPPP/NRQBBKRN w - - 0 1"] |
| 330 | NRQKBBRN | nrqkbbrn | [FEN "nrqkbbrn/pppppppp/8/8/8/8/PPPPPPPP/NRQKBBRN w - - 0 1"] |
| 331 | NRQKBRNB | nrqkbrnb | [FEN "nrqkbrnb/pppppppp/8/8/8/8/PPPPPPPP/NRQKBRNB w - - 0 1"] |
| 332 | NBRQKRBN | nbrqkrbn | [FEN "nbrqkrbn/pppppppp/8/8/8/8/PPPPPPPP/NBRQKRBN w - - 0 1"] |
| 333 | NRQBKRBN | nrqbkrbn | [FEN "nrqbkrbn/pppppppp/8/8/8/8/PPPPPPPP/NRQBKRBN w - - 0 1"] |
| 334 | NRQKRBBN | nrqkrbbn | [FEN "nrqkrbbn/pppppppp/8/8/8/8/PPPPPPPP/NRQKRBBN w - - 0 1"] |
| 335 | NRQKRNBB | nrqkrnbb | [FEN "nrqkrnbb/pppppppp/8/8/8/8/PPPPPPPP/NRQKRNBB w - - 0 1"] |
| 336 | BBNRKQRN | bbnrkqrn | [FEN "bbnrkqrn/pppppppp/8/8/8/8/PPPPPPPP/BBNRKQRN w - - 0 1"] |
| 337 | BNRBKQRN | bnrbkqrn | [FEN "bnrbkqrn/pppppppp/8/8/8/8/PPPPPPPP/BNRBKQRN w - - 0 1"] |
| 338 | BNRKQBRN | bnrkqbrn | [FEN "bnrkqbrn/pppppppp/8/8/8/8/PPPPPPPP/BNRKQBRN w - - 0 1"] |
| 339 | BNRKQRNB | bnrkqrnb | [FEN "bnrkqrnb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQRNB w - - 0 1"] |
| 340 | NBBRKQRN | nbbrkqrn | [FEN "nbbrkqrn/pppppppp/8/8/8/8/PPPPPPPP/NBBRKQRN w - - 0 1"] |
| 341 | NRBBKQRN | nrbbkqrn | [FEN "nrbbkqrn/pppppppp/8/8/8/8/PPPPPPPP/NRBBKQRN w - - 0 1"] |
| 342 | NRBKQBRN | nrbkqbrn | [FEN "nrbkqbrn/pppppppp/8/8/8/8/PPPPPPPP/NRBKQBRN w - - 0 1"] |
| 343 | NRBKQRNB | nrbkqrnb | [FEN "nrbkqrnb/pppppppp/8/8/8/8/PPPPPPPP/NRBKQRNB w - - 0 1"] |
| 344 | NBRKBQRN | nbrkbqrn | [FEN "nbrkbqrn/pppppppp/8/8/8/8/PPPPPPPP/NBRKBQRN w - - 0 1"] |
| 345 | NRKBBQRN | nrkbbqrn | [FEN "nrkbbqrn/pppppppp/8/8/8/8/PPPPPPPP/NRKBBQRN w - - 0 1"] |
| 346 | NRKQBBRN | nrkqbbrn | [FEN "nrkqbbrn/pppppppp/8/8/8/8/PPPPPPPP/NRKQBBRN w - - 0 1"] |
| 347 | NRKQBRNB | nrkqbrnb | [FEN "nrkqbrnb/pppppppp/8/8/8/8/PPPPPPPP/NRKQBRNB w - - 0 1"] |
| 348 | NBRKQRBN | nbrkqrbn | [FEN "nbrkqrbn/pppppppp/8/8/8/8/PPPPPPPP/NBRKQRBN w - - 0 1"] |
| 349 | NRKBQRBN | nrkbqrbn | [FEN "nrkbqrbn/pppppppp/8/8/8/8/PPPPPPPP/NRKBQRBN w - - 0 1"] |
| 350 | NRKQRBBN | nrkqrbbn | [FEN "nrkqrbbn/pppppppp/8/8/8/8/PPPPPPPP/NRKQRBBN w - - 0 1"] |
| 351 | NRKQRNBB | nrkqrnbb | [FEN "nrkqrnbb/pppppppp/8/8/8/8/PPPPPPPP/NRKQRNBB w - - 0 1"] |
